featureid	state	dot_district	county	town
201476349	Vermont	1	Bennington	Readsboro
201476348	Vermont	2	Windham	Halifax
201476405	Vermont	1	Windham	Wilmington
201476405	Vermont	1	Windham	Marlboro
201476405	Vermont	1	Windham	Whitingham
201476405	Vermont	1	Windham	Halifax
201476405	Vermont	2	Windham	Wilmington
201476405	Vermont	2	Windham	Marlboro
201476405	Vermont	2	Windham	Whitingham
201476405	Vermont	2	Windham	Halifax
201476384	Vermont	1	Bennington	Woodford
201476384	Vermont	1	Bennington	Searsburg
201476311	Vermont	1	Windham	Wilmington
201476332	Vermont	2	Windham	Halifax
201476312	Vermont	1	Windham	Wilmington
201476404	Vermont	1	Windham	Wilmington
201476404	Vermont	1	Windham	Whitingham
201476408	Vermont	1	Windham	Wilmington
201476427	Vermont	2	Windham	Marlboro
201476427	Vermont	2	Windham	Halifax
201476307	Vermont	2	Windham	Halifax
201476321	Vermont	2	Windham	Halifax
201476305	Vermont	2	Windham	Halifax
201476337	Vermont	2	Windham	Halifax
201476385	Vermont	1	Bennington	Woodford
201476385	Vermont	1	Bennington	Searsburg
201476385	Vermont	1	Bennington	Readsboro
201476388	Vermont	1	Bennington	Searsburg
201476388	Vermont	1	Bennington	Readsboro
201476390	Vermont	1	Windham	Wilmington
201476378	Vermont	1	Windham	Wilmington
201476319	Vermont	1	Windham	Wilmington
201476319	Vermont	1	Windham	Readsboro
201476319	Vermont	1	Bennington	Wilmington
201476319	Vermont	1	Bennington	Readsboro
201476433	Vermont	1	Windham	Wilmington
201476433	Vermont	1	Windham	Whitingham
201476326	Vermont	2	Windham	Halifax
201476392	Vermont	2	Windham	Halifax
201476389	Vermont	1	Bennington	Searsburg
201476389	Vermont	1	Bennington	Readsboro
201476416	Vermont	1	Windham	Wilmington
201476416	Vermont	1	Windham	Readsboro
201476416	Vermont	1	Bennington	Wilmington
201476416	Vermont	1	Bennington	Readsboro
201476391	Vermont	1	Windham	Wilmington
201476393	Vermont	2	Windham	Halifax
201476356	Vermont	2	Windham	Halifax
201476373	Vermont	2	Windham	Halifax
201476373	Vermont	2	Windham	Guilford
201476400	Vermont	1	Bennington	Readsboro
201476374	Vermont	2	Windham	Guilford
201476386	Vermont	2	Windham	Halifax
201476426	Vermont	2	Windham	Marlboro
201476426	Vermont	2	Windham	Halifax
201476414	Vermont	1	Windham	Wilmington
201476414	Vermont	1	Windham	Readsboro
201476414	Vermont	1	Bennington	Wilmington
201476414	Vermont	1	Bennington	Readsboro
201476387	Vermont	2	Windham	Halifax
201476387	Vermont	2	Windham	Guilford
201476442	Vermont	1	Windham	Wilmington
201476442	Vermont	1	Windham	Whitingham
201476379	Vermont	1	Windham	Wilmington
201476379	Vermont	1	Windham	Whitingham
201476420	Vermont	1	Bennington	Woodford
201476420	Vermont	1	Bennington	Readsboro
201476686	Vermont	1	Bennington	Readsboro
201476406	Vermont	1	Windham	Wilmington
201476440	Vermont	1	Bennington	Woodford
201476451	Vermont	1	Bennington	Woodford
201476451	Vermont	1	Bennington	Searsburg
201476451	Vermont	1	Bennington	Readsboro
201476423	Vermont	1	Bennington	Readsboro
201476407	Vermont	1	Windham	Wilmington
201476407	Vermont	1	Windham	Whitingham
201476424	Vermont	1	Windham	Whitingham
201476521	Vermont	1	Windham	Wilmington
201476521	Vermont	1	Windham	Whitingham
201476441	Vermont	1	Windham	Wilmington
201476441	Vermont	1	Windham	Whitingham
201476498	Vermont	1	Windham	Wilmington
201476498	Vermont	1	Windham	Readsboro
201476498	Vermont	1	Windham	Whitingham
201476498	Vermont	1	Bennington	Wilmington
201476498	Vermont	1	Bennington	Readsboro
201476498	Vermont	1	Bennington	Whitingham
201476415	Vermont	1	Windham	Wilmington
201476514	Vermont	1	Bennington	Woodford
201476450	Vermont	1	Bennington	Woodford
201476450	Vermont	1	Bennington	Searsburg
201476450	Vermont	1	Bennington	Readsboro
201476589	Vermont	1	Windham	Whitingham
201476589	Vermont	1	Windham	Halifax
201476589	Vermont	2	Windham	Whitingham
201476589	Vermont	2	Windham	Halifax
201476443	Vermont	1	Windham	Whitingham
201476443	Vermont	1	Windham	Halifax
201476443	Vermont	2	Windham	Whitingham
201476443	Vermont	2	Windham	Halifax
201476432	Vermont	1	Windham	Wilmington
201476432	Vermont	1	Windham	Whitingham
201476529	Vermont	2	Windham	Halifax
201476462	Vermont	1	Windham	Wilmington
201476564	Vermont	1	Windham	Whitingham
201476461	Vermont	1	Windham	Wilmington
201476461	Vermont	1	Windham	Whitingham
201476528	Vermont	2	Windham	Halifax
201476446	Vermont	1	Windham	Whitingham
201476513	Vermont	1	Bennington	Woodford
201476485	Vermont	1	Windham	Whitingham
201476637	Vermont	1	Bennington	Woodford
201476637	Vermont	1	Bennington	Readsboro
201476526	Vermont	1	Windham	Whitingham
201476520	Vermont	1	Windham	Wilmington
201476520	Vermont	1	Windham	Whitingham
201476645	Vermont	2	Windham	Halifax
201476645	Vermont	2	Windham	Guilford
201476578	Vermont	1	Bennington	Woodford
201476555	Vermont	1	Windham	Wilmington
201476555	Vermont	1	Windham	Whitingham
201476612	Vermont	2	Windham	Halifax
201476543	Vermont	2	Windham	Halifax
201476622	Vermont	1	Bennington	Readsboro
201476640	Vermont	1	Bennington	Readsboro
201476565	Vermont	1	Windham	Whitingham
